STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840101 00:15,0,g, ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840104 22:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 00:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 01:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 02:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840105 03:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 08:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 09:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 10:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 11:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:15,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:30,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 12:45,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:00,1, , ,HI
COOP:311564,CATALOOCHEE NC US,798.9,35.61667,-83.1,19840110 13:15,1, , ,HI
