TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,PER_CAPITA_INCOME
0,,00000005,101,87,0,?,?,.,H,M,2,0,P,0,,554,294,76,0,0,0,0,1,0,A,1,0.067,15,0,0,1,0,26,19,45,297,35,8.49,15,20,5,15,5,12,26,92,8.49,7,11855
1,10,00000012,137,79,0,R,2,45,H,M,7,0,P,0,3,334,212,72,0,41,21,31,1,1,S,2,0.235,15,0.25,15,4,2,11,32,90,368,25,14.72,20,25,5,17,7,21,7,122,14.72,12,10385
0,,00000037,113,75,0,S,1,11,H,F,5,0,P,0,9,2388,405,63,0,25,26,57,1,1,S,3,0.409,21.67,0.545,22.67,9,6,14,44,119,603,36,16.75,23,28,5,19,11,32,6,105,16.75,16,30855
0,,00000038,92,,0,U,2,04,H,F,6,1,B,0,4,1688,153,3,0,25,32,42,1,0,A,3,0.474,13.44,0.4,13.5,9,4,11,31,96,435,37,11.76,14,17,3,15,11,33,6,92,11.76,12,16342
0,,00000041,101,74,0,R,2,49,U,F,2,1,B,8,5,514,328,90,0,33,36,37,0,0,A,1,0.1,17.5,0.111,10,2,1,18,30,83,106,12,8.83,20,25,5,25,6,19,18,92,8.83,3,12107
0,,00000052,101,63,0,U,3,08,U,M,3,0,P,0,,452,182,51,0,57,38,34,0,0,A,4,0.2,8.33,0.125,10,3,1,19,22,59,128,22,5.82,7,10,3,10,9,20,19,91,5.82,6,6851
0,,00000053,89,71,0,R,3,50,H,M,5,0,P,0,7,376,122,68,0,17,11,51,1,4,A,1,0.167,18.67,0.273,18.67,3,3,21,29,72,220,20,11,15,20,5,20,7,18,21,91,11,8,5900
1,5,00000067,89,79,0,C,2,28,H,F,1,0,P,0,,1004,189,95,3,44,49,50,1,0,A,4,0.4,5,0.444,5,8,4,12,33,89,101,20,5.05,4,7,3,5,9,24,9,91,5.05,8,12667
0,,00000070,89,41,0,C,3,30,H,F,4,0,P,0,,361,180,56,2,51,45,45,1,0,A,4,0.409,5,0.455,5,9,5,17,36,91,171,34,5.03,4,7,3,5,11,25,17,91,5.03,14,8132
1,16,00000071,101,63,0,R,2,43,H,F,4,1,B,0,,399,307,86,1,33,33,29,1,1,S,3,0.357,8.6,0.571,8.5,5,4,11,27,62,150,22,6.82,8,11,3,8,11,27,9,91,6.82,13,11428
0,,00000077,113,,1,R,2,43,U,F,,0,N,0,2,119,179,41,0,43,0,70,1,1,S,4,0.409,8.67,0.364,8,9,4,15,45,123,273,37,7.38,7,10,3,10,11,35,4,110,7.38,14,6519
0,,00000113,113,,0,R,3,53,U,F,,1,N,0,,168,163,79,0,33,22,43,0,0,A,1,0.095,80,0.182,80,2,2,20,39,94,516,14,36.86,80,85,5,85,9,21,20,105,36.86,6,9042
0,,00000122,89,,0,R,1,42,U,F,,0,N,0,,770,256,80,0,32,19,39,1,1,S,4,0.524,3.5,0.7,4.5,11,7,15,36,98,100.5,33,3.05,14,15,1,2,11,27,15,91,3.05,16,13841
0,,00000139,101,,0,R,2,46,U,F,,0,N,0,,655,219,77,0,46,24,53,0,0,A,1,0.071,21,0,0,1,0,26,11,25,103,7,14.71,16,21,5,21,4,10,26,90,14.71,2,12671
1,3,00000142,137,,0,R,2,43,U,F,,1,N,0,1,475,227,70,0,30,33,29,1,1,S,2,0.35,10,0.5,10,7,5,22,44,110,186,31,6,9,11,2,10,9,22,22,129,6,14,10221
0,,00000156,125,73,0,?,?,.,U,F,5,0,B,17,9,706,299,76,0,0,0,0,1,1,S,2,0.15,8.33,0.111,10,3,1,18,38,98,201,33,6.09,8,10,2,10,6,15,18,124,6.09,10,12426
1,12,00000159,77,81,0,R,2,45,U,M,4,1,B,24,3,530,236,81,1,34,19,46,1,0,A,4,0.5,9.64,0.455,9.8,11,5,11,33,90,270,29,9.31,10,15,5,15,11,29,6,89,9.31,7,12208
0,,00000162,65,76,0,S,2,20,U,F,2,1,B,7,7,813,255,48,0,47,24,23,1,0,A,1,0.19,16.25,0.182,17.5,4,2,20,37,99,277,24,11.54,20,25,5,15,11,27,20,89,11.54,4,13079
0,,00000186,125,,0,?,?,.,U,F,,0,N,0,3,910,240,53,0,0,0,0,1,1,S,4,0.545,10.83,0.364,11,12,4,15,46,131,670,76,8.82,17,20,3,11,10,28,15,125,8.82,23,19388
0,,00000210,101,69,0,S,2,16,H,F,3,1,B,32,6,663,340,68,1,25,37,33,1,1,S,2,0.389,11.57,0.333,10.67,7,3,12,33,96,255,26,9.81,15,20,5,10,8,21,12,92,9.81,10,13347
1,8,00000220,77,45,0,C,3,30,H,M,2,0,B,4,2,550,387,83,0,49,43,37,1,1,S,4,0.438,6.14,0.571,6,7,4,13,29,79,122,22,5.55,5,8,3,7,9,25,5,87,5.55,11,20210
0,,00000230,65,71,0,T,2,40,H,M,3,0,B,0,7,2222,450,86,2,34,26,43,0,0,A,1,0.1,17.5,0,0,2,0,26,16,44,90,7,12.86,15,20,5,20,5,12,26,88,12.86,1,29771
0,,00000236,89,43,0,U,2,07,H,M,4,1,P,0,4,1296,358,52,3,30,53,10,1,0,A,1,0.438,12.86,0.5,12.25,7,4,11,24,68,200,21,9.52,10,15,5,10,9,26,5,87,9.52,6,13619
1,15,00000250,89,87,0,S,2,20,U,F,1,0,B,6,4,469,222,42,0,46,17,39,1,0,A,2,0.35,12.86,0.364,12.5,7,4,17,39,94,261,24,10.88,12,15,3,12,11,23,17,87,10.88,10,10469
0,,00000257,89,55,0,?,?,.,H,F,4,0,P,0,,490,152,63,0,0,0,0,0,0,A,1,0.071,19,0,0,1,0,25,19,49,164,14,11.71,17,20,3,19,5,12,25,87,11.71,3,9807
1,10,00000263,77,77,0,T,1,34,U,U,,0,N,0,6,2156,331,41,0,42,0,60,1,0,A,2,0.238,14,0.5,14,5,5,21,33,91,186,16,11.63,12,17,5,14,11,29,5,87,11.63,11,24742
1,33,00000268,89,37,0,C,1,23,U,F,5,1,B,7,9,1765,327,72,0,50,14,71,0,0,A,4,0.364,25.88,0.455,27,8,5,15,40,107,470,21,22.38,25,35,10,35,11,27,8,87,22.38,7,27674
0,,00000276,89,52,0,S,2,16,H,M,5,1,B,10,4,610,297,90,0,33,20,37,0,0,A,3,0.143,11.33,0.2,10.5,3,2,20,33,88,134,14,9.57,8,13,5,10,8,20,20,87,9.57,4,13018
1,20,00000282,17,30,0,T,1,35,H,M,6,1,B,11,,1117,544,87,1,27,70,21,0,0,F,1,0.077,20,0.2,20,1,1,20,13,39,76,9,8.44,15,20,5,20,5,14,20,87,8.44,1,18212
0,,00000286,89,43,0,R,2,49,H,M,3,1,B,1,,542,301,65,0,24,62,26,0,0,A,1,0.063,25,0,0,1,0,26,18,45,109,7,15.57,15,25,10,25,5,12,26,87,15.57,2,9742
0,,00000316,89,77,0,T,3,41,H,M,1,0,B,0,0,312,117,65,0,23,7,64,1,0,A,1,0.5,20,0.545,20,10,6,12,32,82,380,23,16.52,15,20,5,20,11,30,4,87,16.52,9,5016
0,,00000317,89,,0,C,2,25,U,M,4,0,M,0,,1125,255,0,0,14,39,13,0,0,A,1,0.077,23,0,0,1,0,19,12,35,87,5,17.4,8,23,15,23,4,14,19,87,17.4,2,16041
0,,00000325,89,37,0,U,4,10,H,F,6,0,B,0,9,5435,1375,97,0,29,30,33,1,1,S,2,0.118,32.5,0.222,32.5,2,2,15,26,58,209,10,20.9,25,35,10,35,10,24,15,87,20.9,6,42851
1,25,00000341,89,67,0,R,2,49,U,F,,0,N,0,4,517,327,83,0,27,32,25,1,19,A,1,0.2,14,0.111,11,4,1,15,37,106,297,27,11,20,25,5,15,9,26,7,86,11,5,12605
0,,00000349,89,65,0,U,1,01,H,F,6,1,B,2,,1489,402,26,0,38,55,25,0,0,E,1,0.143,15,0,0,1,0,15,9,29,59,5,11.8,5,15,10,15,2,12,15,86,11.8,2,22959
0,,00000363,89,77,0,U,3,09,H,F,5,1,B,7,,4872,221,10,1,12,11,17,0,0,A,1,0.067,17,0,0,1,0,25,14,39,101,7,14.43,5,17,12,17,5,13,25,85,14.43,1,14394
1,10,00000364,53,59,0,U,1,01,H,F,5,0,P,0,7,3100,133,28,0,20,18,0,1,1,S,2,0.286,13,0.2,13,6,2,20,26,70,284,21,13.52,20,25,5,10,9,21,18,85,13.52,4,18262
1,10,00000368,137,75,0,U,1,02,H,M,6,1,B,1,7,2257,485,84,0,43,28,41,1,10,A,1,0.333,8.83,0.444,8.75,6,4,19,42,114,247,38,6.5,5,10,5,10,10,24,19,129,6.5,22,17885
0,,00000372,101,42,0,S,1,12,H,M,6,1,B,2,,787,375,94,0,24,36,0,0,0,A,1,0.118,18,0,0,2,0,17,21,59,89,7,12.71,14,19,5,19,4,13,17,91,12.71,3,14366
0,,00000379,89,,0,?,?,.,U,F,,0,N,0,2,343,162,77,0,0,0,0,1,0,A,1,0.125,12.5,0,0,2,0,18,22,51,85,10,8.5,10,15,5,15,6,17,18,85,8.5,4,8371
0,,00000383,41,,0,S,1,14,U,M,,1,N,0,6,2439,521,47,0,34,27,29,0,0,A,1,0.1,19,0,0,2,0,15,28,68,163,9,18.11,28,33,5,20,9,22,15,85,18.11,2,21808
1,5,00000387,5,,0,T,2,40,U,F,2,0,B,0,,789,413,97,0,31,16,7,0,0,A,3,0.278,5.4,0.222,6,5,2,20,15,43,70,12,5.83,7,10,3,5,5,12,18,85,5.83,2,14123
1,16,00000397,89,79,0,U,1,02,H,F,7,1,P,0,9,1857,594,93,0,25,9,65,0,0,A,1,0.067,16,0,0,1,0,20,18,60,111,7,15.86,10,20,10,16,4,15,20,84,15.86,2,27547
1,35,00000403,89,58,0,?,?,.,U,U,2,0,P,0,,765,408,89,0,0,0,0,0,0,A,1,0.063,20,0.125,20,1,1,18,21,52,335,10,33.5,30,50,20,35,8,21,7,83,33.5,4,15150
0,,00000412,77,,0,T,3,41,U,F,1,0,M,0,2,453,199,79,0,21,40,40,1,10,A,1,0.444,11.25,0.556,11,8,5,16,24,68,356,32,11.13,10,15,5,15,6,17,4,81,11.13,10,9591
1,10,00000427,29,,0,C,2,28,U,M,,0,N,0,,709,256,75,0,39,9,57,0,0,A,3,0.15,10,0.273,10,3,3,22,25,59,105,11,9.55,10,15,5,10,6,15,18,80,9.55,5,13576
0,,00000438,89,45,0,T,2,40,H,F,6,1,B,12,8,1400,318,77,0,25,30,29,0,0,A,1,0.1,25,0.111,25,2,1,18,30,72,159,12,13.25,20,25,5,25,11,27,6,81,13.25,5,14928
1,10,00000441,77,56,0,U,4,10,U,F,1,0,B,2,,550,91,10,0,19,46,31,1,1,S,4,0.5,5,0.364,5,11,4,8,34,90,154,28,5.5,7,10,3,5,11,25,8,80,5.5,7,10050
0,,00000458,125,80,0,T,2,37,U,F,,0,N,0,4,1688,325,70,0,33,28,39,1,1,S,2,0.136,15,0.273,15,3,3,25,25,60,145,15,9.67,10,15,5,15,7,14,25,124,9.67,8,16023
