Date,Open,High,Low,Close,Volume,Adj Close
3/11/99,94.5,98.38,88.19,92.19,7990800,36.16
4/1/99,93.44,106.81,43.19,46.0,10217800,36.09
5/3/99,45.88,47.62,41.0,42.62,8439200,33.44
6/1/99,42.69,48.5,42.19,48.25,6363000,37.9
7/1/99,47.94,51.0,42.25,42.25,5328000,33.18
8/2/99,42.31,48.44,38.88,44.31,6063400,34.8
9/1/99,44.31,48.0,43.56,47.56,5383200,37.4
10/1/99,48.0,58.5,47.56,56.31,7699500,44.28
11/1/99,57.25,60.69,55.0,57.62,5922200,45.31
12/1/99,57.69,70.25,57.0,69.12,6327100,54.39
1/3/00,68.38,69.0,53.5,54.75,7186100,43.08
2/1/00,55.0,60.12,43.44,48.75,12361800,38.36
3/1/00,49.88,60.75,45.62,56.5,10471100,44.51
4/3/00,56.62,64.94,51.75,55.38,7442200,43.63
5/1/00,56.38,60.0,49.5,57.62,6912100,45.4
6/1/00,57.12,60.06,51.62,57.62,6238300,45.45
7/3/00,57.25,62.94,54.25,55.25,5741300,43.58
8/1/00,54.0,57.62,47.12,47.62,8900600,37.56
9/1/00,47.56,54.75,46.88,48.12,7924100,38.0
10/2/00,48.19,48.62,41.44,45.38,10546800,35.83
11/1/00,46.5,52.19,42.56,52.19,9904100,41.21
12/1/00,52.62,55.94,46.94,53.12,8968500,42.0
1/2/01,53.12,58.75,50.44,56.8,9084400,44.91
2/1/01,56.8,56.8,48.05,50.09,7615700,39.6
3/1/01,49.25,51.9,45.2,50.5,8079800,39.98
4/2/01,50.0,53.3,47.41,51.74,7817000,40.96
5/1/01,51.72,54.75,51.0,51.75,6929500,40.97
6/1/01,51.54,52.45,48.0,48.8,6270300,38.69
7/2/01,48.95,56.5,46.71,55.9,7702500,44.32
8/1/01,55.4,56.77,47.24,48.05,6913400,38.1
9/4/01,48.23,49.95,42.0,49.5,12259100,39.31
10/1/01,49.5,54.75,48.14,51.4,8476800,40.82
11/1/01,51.2,56.24,50.86,55.15,7927700,43.79
12/3/01,55.06,58.74,53.03,57.55,7036800,45.76
1/2/02,57.65,59.98,55.31,59.98,7509100,47.69
2/1/02,59.7,62.88,58.1,62.01,8614900,49.3
3/1/02,62.2,63.94,60.3,61.3,7858600,48.8
4/1/02,60.35,61.85,55.46,55.86,8377800,44.47
5/1/02,55.6,59.3,53.61,54.1,8449400,43.07
6/3/02,54.18,58.88,52.0,55.01,10674000,43.85
7/1/02,55.3,56.7,43.72,49.18,12254300,39.2
8/1/02,49.0,54.79,45.19,53.48,10124600,42.63
9/3/02,52.85,57.0,48.1,49.24,10314400,39.3
10/1/02,49.24,58.02,48.55,53.55,12733800,42.74
